target,mae,rmse,r2,spearman,model
pce,1.9645657175781375,2.368877764897132,0.7605787284323235,0.6055264483800729,RandomForest
voc,0.04345702172412676,0.05860431988136359,0.5636899034876719,0.4281851276015357,RandomForest
jsc,1.2700840277833285,1.9302046779944495,0.8814070521587626,0.5008405570646652,RandomForest
ff,4.706523168377337,6.568443686808037,0.31245271757792636,0.502649434352175,RandomForest
pce,1.6368234968493278,2.2193623060294057,0.7898478481798308,0.49740881368316914,ExtraTrees
voc,0.04287278603115145,0.06028757722415214,0.5382662022030261,0.40706297687455695,ExtraTrees
jsc,1.127581137816376,1.490978315827219,0.9292388648405042,0.38095825006913014,ExtraTrees
ff,3.7822393740800324,5.292857108135172,0.5535652966527115,0.3926712403799955,ExtraTrees
pce,2.550738991383749,3.238740902169071,0.5524620769599806,0.4023387680937533,HistGB
voc,0.06205412238223162,0.07639202914214957,0.25863497348648345,0.39469088978479633,HistGB
jsc,1.5590027361780532,2.700162498226925,0.7679230869701983,0.43740038237847256,HistGB
ff,6.0305008483074385,7.400204485582592,0.1272998532758962,0.3564612243686883,HistGB
pce,1.6671375982019834,3.311575347973801,0.532106823321938,0.6132738629628495,ElasticNet
voc,0.02360616989101573,0.04544199557241768,0.7376682885211214,0.8558790985321826,ElasticNet
jsc,1.1848206224671198,2.0259296285617214,0.8693525767740946,0.6708006478158113,ElasticNet
ff,4.83404419753892,6.649844093087994,0.29530606362032785,0.5329993043263617,ElasticNet
