canonical_smiles,name,pce_mean,pce_group,record_count,anchor_rule,backbone_rule,spacer_rule,x_base,y_base,z_base,x_plot,y_plot,z_plot
*Nc1cc(Nc2ccc3c(c2)c2ccc(*)cc2n3CCCCP(=O)(O)O)c(C)cc1C,27-4p-PANI,8.59,low,1,P-acid,PACz core,Short C4,0,2,2,0.021330195582810196,1.9727133137790962,1.9833278379217734
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(-c4ccc(P(=O)(O)O)cc4)c3c2)c(C)cc1C,36-Ph-PANI,15.08,middle,1,Aryl P-acid,PACz core,Long/other,1,2,3,0.9272011125631653,1.9036319696710584,2.9813528756993732
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(CCCCP(=O)(O)O)c3c2)c(C)cc1C,36-4p-PANI,11.36,low,1,P-acid,PACz core,Short C4,0,2,2,0.052531583706452015,2.0444605662770083,2.016251892273838
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(CCP(=O)(O)O)c3c2)c(C)cc1C,36-2p-PANI,12.46,middle,1,P-acid,PACz core,Short C2,0,2,0,0.06583953014738497,1.984444411203086,-0.038872905317331126
*c1cc(CCCCCCC(=O)O)sc1*,P3HT-COOH,11.120000000000001,low,2,Other,Other,Long/other,2,3,3,1.8634275367942315,2.897043559384814,3.0330076965781596
*c1ccc(-c2ccc3c4ccc(-c5ccc(*)cc5)cc4n(CCP(=O)(O)O)c3c2)cc1,PPh-2PACz,19.533333333333335,high,3,P-acid,Substituted PACz,Short C2,0,1,0,-0.09115256548036227,0.928909464315472,0.070890107247388
*c1ccc2c(c1)c1cc(*)ccc1n2CCP(=O)(O)O,Poly-2PACz,18.0125,middle,8,P-acid,PACz core,Short C2,0,2,0,0.008948828221709977,2.021945969321514,0.010880052936792624
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCP(=O)(O)O,t-Bu-3PACz,17.6,middle,1,P-acid,PACz core,Short C3,0,2,1,-0.022136981464050756,2.058668859752607,1.0246229485879443
CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCCCP(=O)(O)O,CBZC4,16.2,middle,1,P-acid,PACz core,Short C4,0,2,2,-0.0011760810253002157,2.139771162418425,2.0037208743304507
CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCP(=O)(O)O,CBZC2,16.4,middle,1,P-acid,PACz core,Short C2,0,2,0,-0.05971307493015061,2.203970372620513,5.9075163989926305e-06
CC1(C)c2ccccc2N(CCCCP(=O)(O)O)c2ccccc21,4PA-DMAc,16.83,middle,1,P-acid,Other,Short C4,0,3,2,0.06155785824039801,3.02900866032932,1.9494909376520007
CCCCCCCCB(O)O,C8-BA,3.068,low,1,Other,Other,Long/other,2,3,3,2.0544454354800266,2.9307323315977696,3.0221545983171314
CCCCCCCCCCB(O)O,C10-BA,3.382,low,1,Other,Other,Long/other,2,3,3,2.0046221488292852,2.8507567603488084,2.9931899381110556
CCCCCCCCCCCCB(O)O,C12-BA,3.434,low,1,Other,Other,Long/other,2,3,3,2.0789068844877625,3.0187398023640686,3.146521781625142
CCCCCCCCP(=O)(O)O,H8-SAM,1.81,low,1,P-acid,Other,Short C4,0,3,2,0.032725653957643194,2.9430941233282772,2.110134843173267
CCn1c2ccccc2c2ccc3c4ccccc4n(CCP(=O)(O)O)c3c21,2PACz-D2,16.05,middle,1,P-acid,PACz core,Short C2,0,2,0,-0.06015047240182668,1.970924991787422,0.02700925867895506
COc1cc(OC)cc(-c2ccc3c(c2)c2c4ccccc4ccc2n3CCP(=O)(O)O)c1,DM-BZCz,19.75,high,4,P-acid,PACz core,Short C2,0,2,0,0.02581255488577492,1.9571532240658134,-0.053414004678633734
COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,DECz,17.4525,middle,4,P-acid,PACz core,Short C2,0,2,0,-0.06712178205802993,1.990144637950853,-0.07786880303883927
COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,BrDECz,18.060000000000002,middle,4,P-acid,PACz core,Short C2,0,2,0,0.061491521091509085,2.074618616155135,0.08338000671622056
COc1ccc(N(c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccc3ccccc3c2)cc1,MNA,6.87,low,4,Other,Other,Long/other,2,3,3,1.9965051862309624,3.010993399721174,3.0183924457602997
COc1ccc2c(c1)c1cc(OC)ccc1n2CCP(=O)(O)O,MeO-2PACz,13.833333333333334,middle,3,P-acid,Substituted PACz,Short C2,0,1,0,-0.012940365448168241,0.9888955614072918,0.03361003823741276
COc1ccc2c(c1)c1ccc(OC)cc1n2CCCCP(=O)(O)O,MeO-4PACz,14.68,middle,1,P-acid,Substituted PACz,Short C4,0,1,2,-0.0476650681082759,0.9275042373021932,1.8778789809118066
COc1ccc2c(c1)c1ccc(OC)cc1n2CCP(=O)(O)O,"2,6-diMeO-2PACz",10.336666666666666,low,3,P-acid,Substituted PACz,Short C2,0,1,0,0.08557789370718212,0.8827721938706949,0.06492069370907266
COc1ccc2c3cc(F)ccc3n(CCCCP(=O)(O)O)c2c1,MeOF-4PACz,18.99,high,3,P-acid,Substituted PACz,Short C4,0,1,2,-0.010817063744816151,0.9659584463648668,2.0318094236750053
COc1ccc2c3ccc(OC)cc3n(CCP(=O)(O)O)c2c1,"2,7-diMeO-2PACz",16.3,middle,2,P-acid,Substituted PACz,Short C2,0,1,0,-0.029982947551417508,0.9962352214427176,-0.07773014790901346
COc1cccc(-c2ccc3c(c2)c2ccc(-c4cccc(OC)c4)cc2n3CCP(=O)(O)O)c1,m-PhPACz,19.09,high,1,P-acid,Substituted PACz,Short C2,0,1,0,-0.024649348534176073,1.1237550939505918,-0.03300673652149643
Cc1ccc(-c2ccc3c4ccc(-c5ccc(C)cc5)cc4n(CCP(=O)(O)O)c3c2)cc1,BPC-M,17.98,middle,5,P-acid,PACz core,Short C2,0,2,0,0.03726164298873441,2.009119216503102,0.018460204304956374
Cc1ccc2c(c1)c1ccc(C)cc1n2CCCCP(=O)(O)O,Me-4PACz,17.386535714285714,middle,28,P-acid,Substituted PACz,Short C4,0,1,2,0.025581084505485487,1.068791765771614,2.0036726758849372
Fc1ccc(N(CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C18F4PAPTSi,3.79,low,1,Other,Other,Long/other,2,3,3,2.028891282811719,2.9650493081022593,2.979548016993751
Fc1ccc(N(CCCCCCCCCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C10F4PAPTSi,4.95,low,1,Other,Other,Long/other,2,3,3,2.030157470210552,2.917053936350808,2.9927558212353826
Fc1ccc(N(CCCCCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C6F4PAPTSi,5.3,low,1,Other,Other,Long/other,2,3,3,2.149915332060932,2.9324418266437338,2.982361583525518
Fc1ccc(N(CCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C3F4PAPTSi,6.25,low,1,Other,Other,Long/other,2,3,3,1.971550948853077,2.949234175482497,3.0106793758471726
NCCC(=O)O,C3-SAM,3.04,low,1,Other,Other,Long/other,2,3,3,1.9641430089649923,3.1489928812704617,3.103004438109521
O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,6C2A,17.2,middle,2,Other,Other,Long/other,2,3,3,1.9430359090226486,2.942502932454293,2.820333909134809
O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,"2,3,4,5-CBA",9.1,low,1,Other,Other,Long/other,2,3,3,2.0431185595802845,3.0586942442615443,2.983420481484322
O=C(O)c1ccc(Br)cc1,BBA,2.21,low,2,Other,Other,Long/other,2,3,3,2.0790280604904625,2.936795097533908,3.0123558694960715
