brics_fragment,high_count,low_count,high_total,low_total,high_frequency,low_frequency,frequency_difference,log2_enrichment,total_count_high_low
*CCCP(=O)(O)O,5,0,33,33,0.15151515151515152,0.0,0.15151515151515152,3.4594316186372973,5
*c1ccc2c3ccc(*)cc3n(*)c2c1,5,0,33,33,0.15151515151515152,0.0,0.15151515151515152,3.4594316186372973,5
*c1ccc2c(c1)c1cc(*)ccc1n2*,4,0,33,33,0.12121212121212122,0.0,0.12121212121212122,3.169925001442312,4
*CCCCP(=O)(O)O,14,2,33,33,0.42424242424242425,0.06060606060606061,0.36363636363636365,2.5360529002402097,16
*CCP(=O)(O)O,13,2,33,33,0.3939393939393939,0.06060606060606061,0.3333333333333333,2.432959407276106,15
*c1ccsc1,2,0,33,33,0.06060606060606061,0.0,0.06060606060606061,2.321928094887362,2
*n1c2ccccc2c2cc3ccccc3cc21,2,0,33,33,0.06060606060606061,0.0,0.06060606060606061,2.321928094887362,2
*n1c2ccccc2c2ccc(Br)cc21,2,0,33,33,0.06060606060606061,0.0,0.06060606060606061,2.321928094887362,2
*c1ccccc1,4,1,33,33,0.12121212121212122,0.030303030303030304,0.09090909090909091,1.584962500721156,5
*OC,3,2,33,33,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.48542682717024166,5
*c1ccc2ccccc2c1,1,1,33,33,0.030303030303030304,0.030303030303030304,0.0,0.0,2
*c1ccc(*)cc1,1,2,33,33,0.030303030303030304,0.06060606060606061,-0.030303030303030304,-0.7369655941662062,3
*c1ccc2c(c1)c1ccc(*)cc1n2*,1,3,33,33,0.030303030303030304,0.09090909090909091,-0.06060606060606061,-1.2223924213364479,4
*CP(=O)(O)O,0,2,33,33,0.0,0.06060606060606061,-0.06060606060606061,-2.3219280948873626,2
*N*,0,2,33,33,0.0,0.06060606060606061,-0.06060606060606061,-2.3219280948873626,2
*c1cc(*)c(C)cc1C,0,2,33,33,0.0,0.06060606060606061,-0.06060606060606061,-2.3219280948873626,2
*c1ccc(F)c(F)c1,0,4,33,33,0.0,0.12121212121212122,-0.12121212121212122,-3.1699250014423126,4
*N(*)*,0,5,33,33,0.0,0.15151515151515152,-0.15151515151515152,-3.4594316186372973,5
*C(=O)O,0,10,33,33,0.0,0.30303030303030304,-0.30303030303030304,-4.392317422778761,10
