name,SMILES,pce_mean,record_count,PC1,PC2,doi
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,16.55982142857143,112,1.024508792471426,-3.305134591322184,10.1021/acsami.2c01900
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,16.703,10,1.6861076634856238,-1.9873468410561763,10.1021/acsami.2c01900
TDPA‑Cl,O=P(O)(O)CCCCN1c2cc(Cl)ccc2Sc2cc(Cl)ccc21,17.35,2,-1.6747458432932765,3.3812941976667292,10.1021/acs.langmuir.3c03610
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,18.114,5,4.311071091977653,-0.9395387791481729,10.1002/adfm.202512687
Me-4PACz,Cc1ccc2c(c1)c1ccc(C)cc1n2CCCCP(=O)(O)O,17.386535714285714,28,2.429886819879095,-1.1954531894688858,10.1002/smll.202411457
3-BPIC,O=P(O)(O)CCCCN1c2cc3c(cc2F)c2c4c(c5c(n(c6ccccc65)CCCCP(=O)(O)O)cc4)c4c3c(c3ccccc31)c(n4CCCCP(=O)(O)O)c2,16.439999999999998,2,17.11769715492202,7.889620793471267,10.1021/jacs.4c03917
Br-2PACz,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(Br)ccc21,17.725,16,1.7927090646591177,-2.53381217516969,10.1002/adfm.202512687
F8-SAM,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.61,1,-7.086614447812027,15.67853840082046,10.1021/jp406625e
H8-SAM,O=P(O)(O)CCCCCCCC,1.81,1,-6.478655473773278,2.18661519920136,10.1021/jp406625e
Cl-2PACz,ClC1=CC2=C(N(CCP(O)(O)=O)C3=C2C=C(Cl)C=C3)C=C1,18.234615384615385,13,0.27407797969208353,-1.9546219939312233,10.1002/aenm.202303354
"4,5-Cl-2PACz",O=P(O)(O)CCn1c2cccc(Cl)c2c2c(Cl)cccc21,18.796666666666667,3,-0.1536480003956507,-1.78323083018456,10.1002/aenm.202303354
MeO-2PACz,COc1ccc2c(c1)c1cc(OC)ccc1n2CCP(=O)(O)O,13.833333333333334,3,2.1639985213122737,-1.977077234934364,10.1002/cssc.202100707
BCBBr-C4PA,OP(CCCCN1C2=C(C(C=CC=C3)=C3C=C2)C4=C1C=CC(Br)=C4)(O)=O,17.3575,4,4.208695075480667,-1.7914894351097324,10.1002/aenm.202300694
CBSA,O=S(=O)(O)c1ccc(Cl)cc1,8.211111111111112,9,-9.851672849171273,-3.9023228962916767,10.1002/adma.201600197
Cbz-2Ph,O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.58818181818182,22,5.382588089208362,0.8515877719399779,10.1039/D4EE04479G
4Cl-PACz,O=P(O)(O)CCn1c2c(Cl)cc(Cl)cc2c2cc(Cl)cc(Cl)c21,17.5,4,-0.7914908368492175,0.04369386720761749,10.1016/j.cej.2022.140138
Br-2EPO,O=P(O)(O)CCN1c2ccc(Br)cc2Oc2cc(Br)ccc21,17.21,1,-1.1432490908391508,1.615163368594416,10.1002/adfm.202208793
Br-2EPT,O=P(O)(O)CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,17.46,1,-0.944315381147238,0.9162761075895279,10.1002/adfm.202208793
Br-2EPSe,O=P(O)(O)CCN1c2ccc(Br)cc2[Se]c2cc(Br)ccc21,18.16,2,-1.7243549085693926,0.33059233577355657,10.1002/adfm.202208793
JJ25,OP(O)(=O)CCCCN1C2=C(C3=CC=CC=C3C(Br)=C2)C2=C1C=C(Br)C1=CC=CC=C12,16.35857142857143,7,4.345923211966536,0.8739243399125934,10.1002/adfm.202303653
3-Br-2PACz,C1=CC2=C(C=C1Br)C3=C(N2CCP(=O)(O)O)C=CC=C3,17.333333333333332,6,1.9782713663762508,-3.986253869598189,10.1002/adfm.202406060
4PADCB,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3CCCCP(=O)(O)O)C=CC5=CC=CC=C54,17.547222222222224,18,4.063024478333674,-0.36139304117262616,10.1002/adfm.202406060
PPh-2PACz,O=P(O)(O)CCn1c2cc(-c3ccc([*])cc3)ccc2c2ccc(-c3ccc([*])cc3)cc21,19.533333333333335,3,3.788739237851168,-0.9663340005934516,10.1002/adfm.202417786
Ph-2PACz,O=P(O)(O)CCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,18.38,3,4.940485440045079,-0.39423890412066986,10.1002/adfm.202417786
t-Bu-3PACz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCP(=O)(O)O,17.6,1,2.825468456768304,0.9354120468256938,10.1002/adfm.202418223
Ph-3PACz,O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.46666666666667,3,5.386073488481937,0.25063228560134476,10.1002/adfm.202418223
