motif,high_count,low_count,high_total,low_total,high_frequency,low_frequency,frequency_difference
phosphonic acid / phosphonate,33,12,33,33,1.0,0.36363636363636365,0.6363636363636364
carbazole core,30,4,33,33,0.9090909090909091,0.12121212121212122,0.7878787878787878
benzene ring,33,25,33,33,1.0,0.7575757575757576,0.24242424242424243
C2 alkyl spacer,32,7,33,33,0.9696969696969697,0.21212121212121213,0.7575757575757576
C3 alkyl spacer,19,5,33,33,0.5757575757575758,0.15151515151515152,0.4242424242424243
C4 alkyl spacer,14,5,33,33,0.42424242424242425,0.15151515151515152,0.2727272727272727
thiophene ring,4,1,33,33,0.12121212121212122,0.030303030303030304,0.09090909090909091
fluorinated carbon,2,9,33,33,0.06060606060606061,0.2727272727272727,-0.2121212121212121
C6 alkyl chain,0,10,33,33,0.0,0.30303030303030304,-0.30303030303030304
carboxylic acid / carboxylate,0,12,33,33,0.0,0.36363636363636365,-0.36363636363636365
carbonyl group,0,12,33,33,0.0,0.36363636363636365,-0.36363636363636365
