canonical_smiles,name,original_smiles,pce_mean,pce_median,pce_max,record_count,phosphonic acid / phosphonate,carboxylic acid / carboxylate,carbazole core,benzene ring,thiophene ring,C2 alkyl spacer,C3 alkyl spacer,C4 alkyl spacer,C6 alkyl chain,carbonyl group,fluorinated carbon,chlorinated aryl,brominated aryl,Ring count,Aromatic rings,P atoms,N atoms,O atoms,F atoms,Heavy atoms,MolWt,LogP,TPSA,HBA,HBD,FractionCSP3,brics_fragments,pce_group
*Nc1cc(Nc2ccc3c(c2)c2ccc(*)cc2n3CCCCP(=O)(O)O)c(C)cc1C,27-4p-PANI,[*]c1ccc2c(c1)n(CCCCP(=O)(O)O)c1ccc(Nc3c(C)cc(C)c(N[*])c3)cc12,8.59,8.59,8.59,1,1,0,1,1,0,1,1,1,0,0,0,0,0,4,4,1,3,3,0,31,435.4640000000002,5.163640000000005,86.52000000000001,3,4,0.25,*CCCCP(=O)(O)O|*N*|*c1cc(*)c(C)cc1C|*c1ccc2c(c1)c1ccc(*)cc1n2*,low
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(-c4ccc(P(=O)(O)O)cc4)c3c2)c(C)cc1C,36-Ph-PANI,[*]c1cc2c(cc1)n(c1ccc(P(=O)(O)O)cc1)c1cc(Nc3c(C)cc(C)c(N[*])c3)ccc12,15.08,15.08,15.08,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,5,1,3,3,0,33,455.4540000000002,4.997940000000003,86.52000000000001,3,4,0.07692307692307693,*N*|*c1cc(*)c(C)cc1C|*c1ccc(P(=O)(O)O)cc1|*c1ccc2c(c1)c1ccc(*)cc1n2*,middle
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(CCCCP(=O)(O)O)c3c2)c(C)cc1C,36-4p-PANI,[*]c1cc2c(cc1)n(CCCCP(=O)(O)O)c1cc(Nc3c(C)cc(C)c(N[*])c3)ccc12,11.36,11.36,11.36,1,1,0,1,1,0,1,1,1,0,0,0,0,0,4,4,1,3,3,0,31,435.4640000000001,5.1636400000000044,86.52000000000001,3,4,0.25,*CCCCP(=O)(O)O|*N*|*c1cc(*)c(C)cc1C|*c1ccc2c(c1)c1ccc(*)cc1n2*,low
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(CCP(=O)(O)O)c3c2)c(C)cc1C,36-2p-PANI,[*]c1cc2c(cc1)n(CCP(=O)(O)O)c1cc(Nc3c(C)cc(C)c(N[*])c3)ccc12,12.46,12.46,12.46,1,1,0,1,1,0,1,0,0,0,0,0,0,0,4,4,1,3,3,0,29,407.41000000000014,4.383440000000003,86.52000000000001,3,4,0.18181818181818182,*CCP(=O)(O)O|*N*|*c1cc(*)c(C)cc1C|*c1ccc2c(c1)c1ccc(*)cc1n2*,middle
*c1cc(CCCCCCC(=O)O)sc1*,P3HT-COOH,[*]c1cc(CCCCCCC(=O)O)sc1[*],11.120000000000001,11.120000000000001,13.63,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,0,14,210.298,1.6749,37.3,2,1,0.5454545454545454,*CCCCCCC(=O)O|*c1cc(*)c(*)s1,low
*c1ccc(-c2ccc3c4ccc(-c5ccc(*)cc5)cc4n(CCP(=O)(O)O)c3c2)cc1,PPh-2PACz,O=P(O)(O)CCn1c2cc(-c3ccc([*])cc3)ccc2c2ccc(-c3ccc([*])cc3)cc21,19.533333333333335,19.53,19.63,3,1,0,1,1,0,1,0,0,0,0,0,0,0,5,5,1,1,3,0,31,425.42400000000015,4.6554000000000055,62.46000000000001,1,2,0.07692307692307693,*CCP(=O)(O)O|*c1ccc(*)cc1|*c1ccc2c3ccc(*)cc3n(*)c2c1,high
*c1ccc2c(c1)c1cc(*)ccc1n2CCP(=O)(O)O,Poly-2PACz,[*]c1cc2c(cc1)n(CCP(=O)(O)O)c1ccc([*])cc12,18.0125,18.05,19.1,8,1,0,1,1,0,1,0,0,0,0,0,0,0,3,3,1,1,3,0,19,273.22799999999995,1.3213999999999997,62.46000000000001,1,2,0.14285714285714285,*CCP(=O)(O)O|*c1ccc2c(c1)c1cc(*)ccc1n2*,middle
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCP(=O)(O)O,t-Bu-3PACz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCP(=O)(O)O,17.6,17.6,17.6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,3,3,1,1,3,0,28,401.48700000000014,5.957300000000007,62.46000000000001,1,2,0.4782608695652174,*C(C)(C)C|*CCCP(=O)(O)O|*c1ccc2c(c1)c1cc(*)ccc1n2*,middle
CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCCCP(=O)(O)O,CBZC4,CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCCCP(=O)(O)O,16.2,16.2,16.2,1,1,0,1,1,0,1,1,1,0,0,0,0,0,3,3,1,1,3,0,29,415.5140000000002,6.3474000000000075,62.46000000000001,1,2,0.5,*C(C)(C)C|*CCCCP(=O)(O)O|*c1ccc2c(c1)c1ccc(*)cc1n2*,middle
CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCP(=O)(O)O,CBZC2,CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCP(=O)(O)O,16.4,16.4,16.4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,3,3,1,1,3,0,27,387.4600000000001,5.567200000000007,62.46000000000001,1,2,0.45454545454545453,*C(C)(C)C|*CCP(=O)(O)O|*c1ccc2c(c1)c1ccc(*)cc1n2*,middle
