name,SMILES,doi,pce,voc,jsc,ff,pce_from_voc_jsc_ff,pce_abs_error,target_flag
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1021/acsami.2c01900,16.9,0.86,25.84,76.0,16.889024,0.01097599999999943,False
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,10.1021/acsami.2c01900,16.6,0.86,25.8,75.0,16.641,0.04099999999999682,False
TDPA‑Cl,O=P(O)(O)CCCCN1c2cc(Cl)ccc2Sc2cc(Cl)ccc21,10.1021/acs.langmuir.3c03610,17.3,0.86,26.6,75.7,17.317132,0.017132000000000147,False
TDPA‑Cl,O=P(O)(O)CCCCN1c2cc(Cl)ccc2Sc2cc(Cl)ccc21,10.1021/acs.langmuir.3c03610,17.4,0.832,27.6,75.6,17.3601792,0.03982079999999755,False
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,10.1002/adfm.202512687,20.3,0.89,27.9,81.6,20.262096,0.03790400000000105,False
Me-4PACz,Cc1ccc2c(c1)c1ccc(C)cc1n2CCCCP(=O)(O)O,10.1002/smll.202411457,19.32,0.916,26.85,78.54,19.316598840000005,0.0034011599999956843,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1039/d2ta07022g,18.49,0.85,27.41,79.68,18.5642448,0.07424480000000244,False
3-BPIC,O=P(O)(O)CCCCN1c2cc3c(cc2F)c2c4c(c5c(n(c6ccccc65)CCCCP(=O)(O)O)cc4)c4c3c(c3ccccc31)c(n4CCCCP(=O)(O)O)c2,10.1021/jacs.4c03917,13.54,0.692,27.68,70.71,13.544189375999999,0.004189375999999356,False
3-BPIC,O=P(O)(O)CCCCN1c2cc3c(cc2F)c2c4c(c5c(n(c6ccccc65)CCCCP(=O)(O)O)cc4)c4c3c(c3ccccc31)c(n4CCCCP(=O)(O)O)c2,10.1021/jacs.4c03917,19.34,0.871,27.89,79.61,19.339012459,0.0009875410000006468,False
Br-2PACz,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(Br)ccc21,10.1002/adfm.202512687,18.1,0.89,27.2,74.6,18.059167999999996,0.04083200000000531,False
F8-SAM,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10.1021/jp406625e,2.61,0.58,8.75,52.0,2.639,0.028999999999999915,False
H8-SAM,O=P(O)(O)CCCCCCCC,10.1021/jp406625e,1.81,0.48,8.29,45.0,1.79064,0.019360000000000044,False
