feature,label,category,signed_spearman_rho,abs_rho,p_value,ci_low_95,ci_high_95,n_valid_unique_sam,n_unique_sam,q_value_fdr,significance
NumHeterocycles,Heterocycle count,Ring / heterocycle,0.6943159686454107,0.6943159686454107,5.194079782883308e-20,0.5704076814570852,0.7882132800370963,130,130,1.1946383500631609e-18,***
RingCount,Ring count,Ring / heterocycle,0.6623646881844691,0.6623646881844691,9.318824953740793e-18,0.5350732635402671,0.7823578242960022,130,130,1.0716648696801912e-16,***
NumAromaticRings,Aromatic ring count,Ring / heterocycle,0.6230844925894159,0.6230844925894159,2.4506007130484905e-15,0.48160330587615274,0.7183728440845056,130,130,1.409095410002882e-14,***
NumAromaticHeterocycles,Aromatic heterocycle count,Ring / heterocycle,0.586302682924666,0.586302682924666,2.3206161184448223e-13,0.4414553636122331,0.6985896005065291,130,130,1.0674834144846183e-12,***
NumAromaticCarbocycles,Aromatic carbocycle count,Ring / heterocycle,0.5600279615550552,0.5600279615550552,4.28473304087753e-12,0.4063425802840689,0.6773610166887444,130,130,1.094987332668702e-11,***
fr_bicyclic,Bicyclic fragments,Ring / heterocycle,0.6547475975825678,0.6547475975825678,2.9285305306709494e-17,0.5278811273000051,0.7547764234842714,130,130,2.2452067401810614e-16,***
fr_benzene,Benzene fragments,Ring / heterocycle,0.5600279615550552,0.5600279615550552,4.28473304087753e-12,0.40728434291409016,0.6745681326066316,130,130,1.094987332668702e-11,***
fr_Ar_N,Aromatic N fragments,N-containing motif,0.5622210258277954,0.5622210258277954,3.392017028137357e-12,0.4064440665873992,0.692158233839248,130,130,1.094987332668702e-11,***
fr_NH0,Non-H nitrogen motifs,N-containing motif,0.5840361482349702,0.5840361482349702,3.0153482258025173e-13,0.43095015901071043,0.701449458888867,130,130,1.1558834865576316e-12,***
NOCount,N/O atom count,Heteroatom / polarity,0.47880417352756877,0.47880417352756877,8.29998677674747e-09,0.3003027430924193,0.62999907990081,130,130,1.5908307988765985e-08,***
TPSA,TPSA,Heteroatom / polarity,0.4267728576267126,0.4267728576267126,4.1210781700501335e-07,0.21270705560499595,0.5878711766327234,130,130,6.318986527410204e-07,***
MolWt,Molecular weight,Size / complexity,0.3949246222628123,0.3949246222628123,3.3228121123679076e-06,0.21260499799640875,0.5596580018434673,130,130,4.776542411528867e-06,***
MolMR,Molar refractivity,Size / complexity,0.4726352534210579,0.4726352534210579,1.3653009739233653e-08,0.310057045897524,0.6218391996827282,130,130,2.415532492325954e-08,***
BertzCT,Molecular complexity,Size / complexity,0.5488908258984388,0.5488908258984388,1.3674911200107349e-11,0.3979644949434402,0.6757658956136238,130,130,3.14522957602469e-11,***
BalabanJ,Balaban J index,Electronic / topology,-0.5107139651866965,0.5107139651866965,5.370149133735218e-10,-0.6449130365261487,-0.3401529595966772,130,130,1.1228493643264546e-09,***
FractionCSP3,sp³ carbon fraction,Electronic / topology,-0.15043638040585922,0.15043638040585922,0.08756044800162271,-0.3454140325964325,0.058094492344659396,130,130,0.09154046836533283,
fr_COO,Carboxylic acid/carboxylate,Acid / carbonyl,-0.38825561483839455,0.38825561483839455,5.008986453865619e-06,-0.49054426257884765,-0.2590793521781831,130,130,6.063509917837328e-06,***
fr_COO2,Carboxylate fragments,Acid / carbonyl,-0.38825561483839455,0.38825561483839455,5.008986453865619e-06,-0.49690822890735153,-0.2776784276346592,130,130,6.063509917837328e-06,***
fr_C_O,Carbonyl fragments,Acid / carbonyl,-0.38825561483839455,0.38825561483839455,5.008986453865619e-06,-0.47981083139255387,-0.24342053480310494,130,130,6.063509917837328e-06,***
fr_Al_COO,Aliphatic carboxyl groups,Acid / carbonyl,-0.13218703529325276,0.13218703529325276,0.1338231765126556,-0.24268151184253386,-0.04196537538917661,130,130,0.1338231765126556,
fr_alkyl_halide,Alkyl halide fragments,Other motif,-0.17387849114870596,0.17387849114870596,0.047875690266203336,-0.31687057517485573,-0.03020478853363671,130,130,0.052435279815365554,
MaxAbsPartialCharge,Max absolute partial charge,Heteroatom / polarity,-0.3604240399473768,0.3604240399473768,4.543185190034517e-05,-0.5106174075302886,-0.15989069775803122,122,130,5.2246629685396945e-05,***
HallKierAlpha,Hall–Kier alpha,Electronic / topology,-0.44405555271383157,0.44405555271383157,1.20988215426417e-07,-0.559870180349448,-0.304466144122195,130,130,1.987663539148279e-07,***
