feature,label,category,signed_spearman_rho,abs_rho,p_value,ci_low_95,ci_high_95,n_valid_unique_sam,n_unique_sam,q_value_fdr,significance
BalabanJ,Balaban J index,Electronic / topology,-0.5107139651866965,0.5107139651866965,5.370149133735218e-10,-0.6449130365261487,-0.3401529595966772,130,130,1.1228493643264546e-09,***
HallKierAlpha,Hall–Kier alpha,Electronic / topology,-0.44405555271383157,0.44405555271383157,1.20988215426417e-07,-0.559870180349448,-0.304466144122195,130,130,1.987663539148279e-07,***
fr_COO2,Carboxylate fragments,Acid / carbonyl,-0.38825561483839455,0.38825561483839455,5.008986453865619e-06,-0.49690822890735153,-0.2776784276346592,130,130,6.063509917837328e-06,***
fr_COO,Carboxylic acid/carboxylate,Acid / carbonyl,-0.38825561483839455,0.38825561483839455,5.008986453865619e-06,-0.49054426257884765,-0.2590793521781831,130,130,6.063509917837328e-06,***
fr_C_O,Carbonyl fragments,Acid / carbonyl,-0.38825561483839455,0.38825561483839455,5.008986453865619e-06,-0.47981083139255387,-0.24342053480310494,130,130,6.063509917837328e-06,***
fr_NH0,Non-H nitrogen motifs,N-containing motif,0.5840361482349702,0.5840361482349702,3.0153482258025173e-13,0.43095015901071043,0.701449458888867,130,130,1.1558834865576316e-12,***
NumAromaticHeterocycles,Aromatic heterocycle count,Ring / heterocycle,0.586302682924666,0.586302682924666,2.3206161184448223e-13,0.4414553636122331,0.6985896005065291,130,130,1.0674834144846183e-12,***
NumAromaticRings,Aromatic ring count,Ring / heterocycle,0.6230844925894159,0.6230844925894159,2.4506007130484905e-15,0.48160330587615274,0.7183728440845056,130,130,1.409095410002882e-14,***
fr_bicyclic,Bicyclic fragments,Ring / heterocycle,0.6547475975825678,0.6547475975825678,2.9285305306709494e-17,0.5278811273000051,0.7547764234842714,130,130,2.2452067401810614e-16,***
RingCount,Ring count,Ring / heterocycle,0.6623646881844691,0.6623646881844691,9.318824953740793e-18,0.5350732635402671,0.7823578242960022,130,130,1.0716648696801912e-16,***
NumHeterocycles,Heterocycle count,Ring / heterocycle,0.6943159686454107,0.6943159686454107,5.194079782883308e-20,0.5704076814570852,0.7882132800370963,130,130,1.1946383500631609e-18,***
