candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles,valid_smiles,candidate_id
carbazole_C2_H,carbazole,C2,phosphonic acid,H,PACz-like parent,O=P(O)(O)CCn1c2ccccc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2ccccc21,True,VSAM-0001
carbazole_C2_mono-F-A,carbazole,C2,phosphonic acid,mono-F-A,halogenated carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(F)ccc21,True,VSAM-0002
carbazole_C2_mono-F-B,carbazole,C2,phosphonic acid,mono-F-B,halogenated carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(F)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(F)cc21,True,VSAM-0003
carbazole_C2_di-F,carbazole,C2,phosphonic acid,di-F,halogenated carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(F)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(F)ccc21,True,VSAM-0004
carbazole_C2_mono-Cl-A,carbazole,C2,phosphonic acid,mono-Cl-A,halogenated carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(Cl)ccc21,True,VSAM-0005
carbazole_C2_mono-Cl-B,carbazole,C2,phosphonic acid,mono-Cl-B,halogenated carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(Cl)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(Cl)cc21,True,VSAM-0006
carbazole_C2_di-Cl,carbazole,C2,phosphonic acid,di-Cl,halogenated carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,True,VSAM-0007
carbazole_C2_mono-Br-A,carbazole,C2,phosphonic acid,mono-Br-A,halogenated carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(Br)ccc21,True,VSAM-0008
carbazole_C2_mono-Br-B,carbazole,C2,phosphonic acid,mono-Br-B,halogenated carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(Br)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(Br)cc21,True,VSAM-0009
carbazole_C2_di-Br,carbazole,C2,phosphonic acid,di-Br,halogenated carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(Br)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(Br)ccc21,True,VSAM-0010
carbazole_C2_mono-Me-A,carbazole,C2,phosphonic acid,mono-Me-A,alkylated carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2ccccc21,Cc1ccc2c(c1)c1ccccc1n2CCP(=O)(O)O,True,VSAM-0011
carbazole_C2_mono-Me-B,carbazole,C2,phosphonic acid,mono-Me-B,alkylated carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(C)cc21,Cc1ccc2c3ccccc3n(CCP(=O)(O)O)c2c1,True,VSAM-0012
carbazole_C2_di-Me,carbazole,C2,phosphonic acid,di-Me,alkylated carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(C)ccc1n2CCP(=O)(O)O,True,VSAM-0013
