canonical_smiles,name,pce_mean,group,PC1,PC2
*Nc1cc(Nc2ccc3c(c2)c2ccc(*)cc2n3CCCCP(=O)(O)O)c(C)cc1C,27-4p-PANI,8.59,Low-PCE train,1.7507678,0.42187044
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(-c4ccc(P(=O)(O)O)cc4)c3c2)c(C)cc1C,36-Ph-PANI,15.08,Middle,-0.8066821,-1.650538
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(CCCCP(=O)(O)O)c3c2)c(C)cc1C,36-4p-PANI,11.36,Low-PCE train,1.7288214,0.34273896
*Nc1cc(Nc2ccc3c4cc(*)ccc4n(CCP(=O)(O)O)c3c2)c(C)cc1C,36-2p-PANI,12.46,Middle,1.5169489,-1.8915875
*c1cc(CCCCCCC(=O)O)sc1*,P3HT-COOH,11.120000000000001,Low-PCE train,-2.754384,0.2882402
*c1ccc(-c2ccc3c4ccc(-c5ccc(*)cc5)cc4n(CCP(=O)(O)O)c3c2)cc1,PPh-2PACz,19.533333333333335,High-PCE train,1.1570313,-1.7263933
*c1ccc2c(c1)c1cc(*)ccc1n2CCP(=O)(O)O,Poly-2PACz,18.0125,Middle,0.86476934,-1.1919286
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCP(=O)(O)O,t-Bu-3PACz,17.6,Middle,0.995454,0.5819469
CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCCCP(=O)(O)O,CBZC4,16.2,Middle,1.5361196,0.75048685
CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCP(=O)(O)O,CBZC2,16.4,Middle,1.324247,-1.4838405
CC1(C)c2ccccc2N(CCCCP(=O)(O)O)c2ccccc21,4PA-DMAc,16.83,Middle,-0.57196146,1.9714484
CCCCCCCCB(O)O,C8-BA,3.068,Low-PCE train,-2.9494698,0.06335076
CCCCCCCCCCB(O)O,C10-BA,3.382,Low-PCE train,-2.9494698,0.06335076
CCCCCCCCCCCCB(O)O,C12-BA,3.434,Low-PCE train,-2.9494698,0.06335076
CCCCCCCCP(=O)(O)O,H8-SAM,1.81,Low-PCE train,-1.3510119,0.8495636
CCn1c2ccccc2c2ccc3c4ccccc4n(CCP(=O)(O)O)c3c21,2PACz-D2,16.05,Middle,0.90770906,-0.9734046
COc1cc(OC)cc(-c2ccc3c(c2)c2c4ccccc4ccc2n3CCP(=O)(O)O)c1,DM-BZCz,19.75,High-PCE train,1.4870263,-1.0123873
COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,DECz,17.4525,Middle,1.7185811,-2.0037358
COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,BrDECz,18.060000000000002,Middle,1.889501,-1.7253016
COc1ccc(N(c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccc3ccccc3c2)cc1,MNA,6.87,Low-PCE train,-2.5461254,-0.26549384
COc1ccc2c(c1)c1cc(OC)ccc1n2CCP(=O)(O)O,MeO-2PACz,13.833333333333334,Middle,1.0063235,-1.368289
COc1ccc2c(c1)c1ccc(OC)cc1n2CCCCP(=O)(O)O,MeO-4PACz,14.68,Middle,1.7305417,0.47468138
COc1ccc2c(c1)c1ccc(OC)cc1n2CCP(=O)(O)O,"2,6-diMeO-2PACz",10.336666666666666,Low-PCE train,1.518669,-1.759646
COc1ccc2c3cc(F)ccc3n(CCCCP(=O)(O)O)c2c1,MeOF-4PACz,18.99,High-PCE train,1.7032974,0.41925004
COc1ccc2c3ccc(OC)cc3n(CCP(=O)(O)O)c2c1,"2,7-diMeO-2PACz",16.3,Middle,1.1729198,-1.7146349
COc1cccc(-c2ccc3c(c2)c2ccc(-c4cccc(OC)c4)cc2n3CCP(=O)(O)O)c1,m-PhPACz,19.09,High-PCE train,1.7905903,-1.9186884
Cc1ccc(-c2ccc3c4ccc(-c5ccc(C)cc5)cc4n(CCP(=O)(O)O)c3c2)cc1,BPC-M,17.98,Middle,1.266005,-1.6785133
Cc1ccc2c(c1)c1ccc(C)cc1n2CCCCP(=O)(O)O,Me-4PACz,17.386535714285714,Middle,1.5674174,0.81330186
Fc1ccc(N(CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C18F4PAPTSi,3.79,Low-PCE train,-3.4020305,0.17618495
Fc1ccc(N(CCCCCCCCCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C10F4PAPTSi,4.95,Low-PCE train,-3.4020305,0.17618495
Fc1ccc(N(CCCCCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C6F4PAPTSi,5.3,Low-PCE train,-3.4020305,0.17618495
Fc1ccc(N(CCC[Si](Cl)(Cl)Cl)c2ccc(F)c(F)c2)cc1F,C3F4PAPTSi,6.25,Low-PCE train,-3.3041153,0.15078102
NCCC(=O)O,C3-SAM,3.04,Low-PCE train,-2.9316928,-0.022884067
O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,6C2A,17.2,Middle,-2.9310474,-0.039195504
O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,"2,3,4,5-CBA",9.1,Low-PCE train,-3.0781415,-0.17278604
O=C(O)c1ccc(Br)cc1,BBA,2.21,Low-PCE train,-3.00944,-0.061942462
O=C(O)c1ccc(Cl)c(Cl)c1,"3,4-CBA",8.7,Low-PCE train,-3.1595964,-0.18439354
O=C(O)c1ccc(Cl)cc1,CBA,5.5875,Low-PCE train,-3.3604171,-0.12241809
O=C(O)c1ccc(F)cc1,FBA,4.92,Low-PCE train,-3.1405985,-0.27237463
O=C(O)c1ccc([N+](=O)[O-])cc1,NBA,3.757,Low-PCE train,-3.1274977,-0.29552484
O=C(O)c1cccc(Cl)c1,3-CBA,8.2,Low-PCE train,-3.0336442,-0.07290471
O=C(O)c1ccccc1,BA,3.3699999999999997,Low-PCE train,-2.951691,-0.01989865
O=C(O)c1ccccc1Cl,2-CBA,7.4,Low-PCE train,-2.9832344,0.0619534
O=P(O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOPA,3.4,Low-PCE train,-2.2863338,-0.51321524
O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F8-SAM,2.61,Low-PCE train,-1.8056173,-0.42698395
O=P(O)(O)CCCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-5PACz,12.556666666666667,Middle,0.766803,1.3352402
O=P(O)(O)CCCCN1c2cc(Br)ccc2Sc2ccc(Br)cc21,BrPZPA,18.15,Middle,-0.64634967,2.1187205
O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,TDPA-Cl,17.35,Middle,-0.91335446,2.0038087
O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2ccc(Cl)cc21,TDPA‑Cl,17.35,Middle,-0.971992,2.130493
O=P(O)(O)CCCCN1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,4PA-SAcF,19.290000000000003,High-PCE train,-0.72725064,2.0680757
O=P(O)(O)CCCCN1c2ccccc2Sc2ccccc21,PZPA,18.95,High-PCE train,-0.8153589,2.2273526
O=P(O)(O)CCCCN1c2ccccc2Sc2nc3ccccc3nc21,JJ32,19.21666666666667,High-PCE train,-0.74859947,2.364293
O=P(O)(O)CCCCn1c2cc(-c3ccc(Cl)cc3)ccc2c2ccc(-c3ccc(Cl)cc3)cc21,pCl-ph,14.14875,Middle,1.0561798,0.71017647
O=P(O)(O)CCCCn1c2cc(-c3ccc4ccccc4c3)ccc2c2ccc(-c3ccc4ccccc4c3)cc21,N2-PACz,19.0,High-PCE train,1.5218685,1.0577348
O=P(O)(O)CCCCn1c2cc(-c3cccc(Cl)c3)ccc2c2ccc(-c3cccc(Cl)c3)cc21,mCl-ph,17.6625,Middle,1.1590945,0.8189339
O=P(O)(O)CCCCn1c2cc(-c3cccc4ccccc34)ccc2c2ccc(-c3cccc4ccccc34)cc21,N1-PACz,20.0,High-PCE train,1.5208251,1.1574385
O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,JJ36,16.990000000000002,Middle,1.33322,0.7930057
O=P(O)(O)CCCCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,4PAThCz,20.285,High-PCE train,1.3102983,0.67628056
O=P(O)(O)CCCCn1c2cc(Br)c3ccccc3c2c2c3ccccc3c(Br)cc21,JJ25,16.35857142857143,Middle,0.82170707,1.7538427
O=P(O)(O)CCCCn1c2cc3c(cc2F)c2cc4c(c-3c(c3c2ccc2c3c3ccccc3n2CCCCP(=O)(O)O)n4CCCCP(=O)(O)O)c2ccccc21,3-BPIC,16.439999999999998,Middle,1.452969,1.2971964
O=P(O)(O)CCCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,4DBCP,19.0,High-PCE train,1.075962,1.5043702
O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Cbz-2Ph,18.58818181818182,High-PCE train,1.2716608,1.1327338
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2c3ccccc3ccc21,BCBBr-C4PA,17.3575,Middle,1.4121187,1.996431
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,DB-Br,17.62,Middle,1.2304293,1.4453781
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc(Br)cc21,Cz-Br-4,15.4,Middle,1.7505416,1.0664238
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc3ccccc3c21,BrBACz,19.215,High-PCE train,1.4634955,1.8932557
O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-4PACz,14.719999999999999,Middle,0.82231104,1.3154548
O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,Cz-Cl-4,14.3,Middle,1.3343681,0.9260228
O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,F-4PACz,14.116666666666667,Middle,1.5259007,0.7376457
O=P(O)(O)CCCCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-4,16.0,Middle,1.6299099,0.7296993
O=P(O)(O)CCCCn1c2ccc3cc(Br)ccc3c2c2c3ccc(Br)cc3ccc21,JJ26,19.05,High-PCE train,1.0695823,1.6499828
O=P(O)(O)CCCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,4PADCB,17.547222222222224,Middle,0.8514946,1.9040319
O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,P-4PACz,18.114,Middle,1.59689,1.0164814
O=P(O)(O)CCCCn1c2ccccc2c2cc3ccccc3cc21,4BCP,18.54,High-PCE train,1.5948926,1.363308
O=P(O)(O)CCCCn1c2ccccc2c2ccc(-c3csc(Br)c3)cc21,ThBr-4PACz,19.5,High-PCE train,1.8117963,1.0431806
O=P(O)(O)CCCCn1c2ccccc2c2ccc(Br)cc21,2-Br-4PACz,18.56,High-PCE train,1.6809317,1.2510257
O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,4PACz,16.703,Middle,1.0605686,1.3379549
O=P(O)(O)CCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,3DBCP,18.0,Middle,1.0471152,0.9503034
O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Ph-3PACz,18.46666666666667,High-PCE train,1.2428147,0.5786666
O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-3PACz,15.363333333333335,Middle,0.79346466,0.7613878
O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,3-BPIC-F,18.65,High-PCE train,0.94796985,0.5442528
